Lat,Long,Elevation,,Waypoint Name,Net Number
17.052809,-88.56770801,195.294708,2023-04-28T22:45:32Z,042823-NT01,1
17.052838,-88.56791404,194.769348,2023-04-28T22:44:47Z,042823-NT02,2
17.05255402,-88.56897301,195.772583,2023-04-28T22:22:54Z,042823-NT03,3
17.05195799,-88.568568,196.707672,2023-04-28T22:24:43Z,042823-NT04,4
17.05153001,-88.56833297,196.705093,2023-04-28T22:26:00Z,042823-NT05,5
17.05136002,-88.56824898,197.306763,2023-04-28T22:26:39Z,042823-NT06,6
17.05071998,-88.56753903,198.545349,2023-04-28T22:28:51Z,042823-NT08,8
17.05087597,-88.56746804,199.66922,2023-04-28T22:31:11Z,042823-NT09,9
17.05076298,-88.56706697,199.821014,2023-04-28T22:35:36Z,042823-NT10,10
17.05148399,-88.56703,196.092285,2023-04-28T22:53:28Z,042823-NT11,11
17.05169597,-88.56709102,194.35849,2023-04-28T22:52:48Z,042823-NT12,12
17.05159203,-88.56753199,196.042175,2023-04-28T22:41:10Z,042823-NT13,13
17.05152104,-88.56764599,196.225677,2023-04-28T22:40:02Z,042823-NT14,14
17.05142104,-88.56758899,196.473129,2023-04-28T22:39:21Z,042823-NT15,15
17.05164501,-88.56764599,196.123047,2023-04-28T22:41:53Z,042823-NT16,16
17.05185799,-88.567605,195.923126,2023-04-28T22:42:37Z,042823-NT17,17
17.05087102,-88.56682196,202.462158,2023-04-28T22:36:35Z,042823-NT18,18
17.05225999,-88.56942303,200.811249,2023-04-28T22:17:45Z,042823-NT19,19
17.05198003,-88.56918298,201.014664,2023-04-28T22:19:35Z,042823-NT22,22
17.052535,-88.56785201,193.613022,2023-04-28T22:43:56Z,042823-NT24,24
17.05155901,-88.56680302,198.759796,2023-04-28T22:54:24Z,042823-NT25,25
17.05197299,-88.56683898,198.947662,2023-04-28T22:55:16Z,042823-NT26,26
17.05233601,-88.56688499,198.797028,2023-04-28T22:56:14Z,042823-NT27,27
17.05052996,-88.56745496,199.107513,2023-04-28T22:32:29Z,042823-NT58,58
17.05042804,-88.56738104,198.218887,2023-04-28T22:33:11Z,042823-NT59,59
17.05027498,-88.56719596,198.889709,2023-04-28T22:34:18Z,042823-NT60,60
17.05212998,-88.56761598,329.6328125,2023-05-04T18:12:40Z,05213NT17B,17B
17.05093003,-88.56754004,339.1367188,2023-05-04T18:26:15Z,NT07,7
17.05221003,-88.56919496,339.6367188,2023-05-04T17:51:23Z,NT20,20
17.05209997,-88.56918398,341.8515625,2023-05-04T17:52:52Z,NT21,21
,,,,,
*Was there never a Net 23?,,,,,
StreetAddress1,StreetAddress2,City,State,,
,,,,,
,,,,,
Category,value,,,,
,,,,,
,,,,,
Category,,,,,
,,,,,
,,,,,
name,cmt,desc,src,DisplayColor,
,,,,,
,,,,,
trkID,,,,,
,,,,,
,,,,,
trksegID,lat,lon,ele,geoidheight,name
